areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,07/10/2020,18307
K02000001,United Kingdom,overview,06/10/2020,17043
K02000001,United Kingdom,overview,05/10/2020,16540
K02000001,United Kingdom,overview,04/10/2020,11795
K02000001,United Kingdom,overview,03/10/2020,11522
K02000001,United Kingdom,overview,02/10/2020,13681
K02000001,United Kingdom,overview,01/10/2020,13185
K02000001,United Kingdom,overview,30/09/2020,12554
K02000001,United Kingdom,overview,29/09/2020,10223
K02000001,United Kingdom,overview,28/09/2020,9918
K02000001,United Kingdom,overview,27/09/2020,6968
K02000001,United Kingdom,overview,26/09/2020,6745
K02000001,United Kingdom,overview,25/09/2020,7235
K02000001,United Kingdom,overview,24/09/2020,7599
K02000001,United Kingdom,overview,23/09/2020,7047
K02000001,United Kingdom,overview,22/09/2020,6396
K02000001,United Kingdom,overview,21/09/2020,5595
K02000001,United Kingdom,overview,20/09/2020,5313
K02000001,United Kingdom,overview,19/09/2020,4847
K02000001,United Kingdom,overview,18/09/2020,4954
K02000001,United Kingdom,overview,17/09/2020,4617
K02000001,United Kingdom,overview,16/09/2020,4346
K02000001,United Kingdom,overview,15/09/2020,3537
K02000001,United Kingdom,overview,14/09/2020,3380
K02000001,United Kingdom,overview,13/09/2020,2129
K02000001,United Kingdom,overview,12/09/2020,2655
K02000001,United Kingdom,overview,11/09/2020,3285
K02000001,United Kingdom,overview,10/09/2020,3576
K02000001,United Kingdom,overview,09/09/2020,3328
K02000001,United Kingdom,overview,08/09/2020,3302
K02000001,United Kingdom,overview,07/09/2020,3858
K02000001,United Kingdom,overview,06/09/2020,2439
K02000001,United Kingdom,overview,05/09/2020,2540
K02000001,United Kingdom,overview,04/09/2020,3037
K02000001,United Kingdom,overview,03/09/2020,3093
K02000001,United Kingdom,overview,02/09/2020,2993
K02000001,United Kingdom,overview,01/09/2020,2249
K02000001,United Kingdom,overview,31/08/2020,1501
K02000001,United Kingdom,overview,30/08/2020,1159
K02000001,United Kingdom,overview,29/08/2020,1221
K02000001,United Kingdom,overview,28/08/2020,1620
K02000001,United Kingdom,overview,27/08/2020,1550
K02000001,United Kingdom,overview,26/08/2020,1350
K02000001,United Kingdom,overview,25/08/2020,1245
K02000001,United Kingdom,overview,24/08/2020,1272
K02000001,United Kingdom,overview,23/08/2020,824
