RegionName,date,HouseRegionMedianPrice
South East,  3/1/2021,360000
South West, 3/31/1996,55000
South West,12/31/1995,55000
South West, 6/30/1996,55500
South West, 9/30/1996,56500
South West,12/31/1996,57250
South West, 3/31/1997,58000
South West, 6/30/1997,59000
South West, 9/30/1997,59950
South West,12/31/1997,60000
South West, 3/31/1998,62000
South West, 6/30/1998,64000
South West, 9/30/1998,65000
South West,12/31/1998,66500
South West, 3/31/1999,67450
South West, 6/30/1999,68950
South West, 9/30/1999,71000
South West,12/31/1999,74000
South West, 3/31/2000,76000
South West, 6/30/2000,79500
South West, 9/30/2000,82000
South West,12/31/2000,85000
South West, 3/31/2001,86500
South West, 6/30/2001,89950
South West, 9/30/2001,93000
South West,12/31/2001,96500
South West, 3/31/2002,100000
South West, 6/30/2002,107500
South West, 9/30/2002,115000
South West,12/31/2002,123000
South West, 3/31/2003,128000
South West, 6/30/2003,134950
South West, 9/30/2003,139950
South West,12/31/2003,145000
South West, 3/31/2004,148000
South West, 6/30/2004,153000
South West, 9/30/2004,159950
South West,12/31/2004,164950
South West, 3/31/2005,167500
South West, 6/30/2005,169950
South West,12/31/2005,169950
South West, 9/30/2005,169950
South West, 3/31/2006,169950
South West, 6/30/2006,171000
South West, 6/30/2009,175000
South West, 9/30/2009,175000
South West, 9/30/2006,175000
South West,12/31/2009,175000
South West, 3/31/2010,178000
South West,12/31/2006,178000
South West, 3/31/2007,180000
South West, 3/31/2009,180000
South West, 6/30/2010,183000
South West, 6/30/2007,185000
South West, 3/31/2012,185000
South West,12/31/2011,185000
South West, 6/30/2012,185000
South West,12/31/2008,185000
South West, 9/30/2011,185000
South West, 9/30/2012,186500
South West, 9/30/2010,187000
South West,12/31/2012,187500
South West, 9/30/2007,187995
South West, 6/30/2013,188000
South West, 3/31/2013,188000
South West, 6/30/2011,188000
South West, 9/30/2013,189950
South West, 9/30/2008,190000
South West, 3/31/2011,190000
South West,12/31/2013,190000
South West,12/31/2007,190000
South West,12/31/2010,190000
South West, 3/31/2014,192000
South West, 3/31/2008,192500
South West, 6/30/2008,192500
South West, 6/30/2014,195000
South West, 9/30/2014,199000
South West,12/31/2014,200495
South West, 3/31/2015,205000
South West, 6/30/2015,209950
South West, 9/30/2015,212000
South West,12/31/2015,216000
South West, 3/31/2016,218997.5
South West, 6/30/2016,221700
South West, 9/30/2016,225000
South West,12/31/2016,229950
South West, 3/31/2017,234000
South West, 6/30/2017,235000
South West, 9/30/2017,240000
South West,12/31/2017,242500
South West,  4/1/2018,245000
South West,  6/1/2018,246212.5
South West,  9/1/2018,249500
South West,  3/1/2019,250000
South West, 12/1/2018,250000
South West,  6/1/2019,250999.5
South West,  9/1/2019,252000
South West, 12/1/2019,253000
South West,  6/1/2020,255000
South West,  3/1/2020,255000
South West,  9/1/2020,260000
South West, 12/1/2020,270000
South West,  3/1/2021,282000
Wales,12/31/1995,44000
Wales, 3/31/1996,44000
Wales, 6/30/1996,44500
Wales,12/31/1996,45000
Wales, 9/30/1996,45000
Wales, 3/31/1997,45500
Wales, 6/30/1997,46500
Wales, 9/30/1997,47000
Wales,12/31/1997,47950
Wales, 3/31/1998,48000
Wales, 6/30/1998,48500
Wales, 9/30/1998,49000
Wales,12/31/1998,49500
Wales, 3/31/1999,50000
Wales, 6/30/1999,50000
Wales, 9/30/1999,52000
Wales,12/31/1999,53000
Wales, 3/31/2000,54000
Wales, 6/30/2000,55000
Wales, 9/30/2000,56000
Wales,12/31/2000,56500
Wales, 3/31/2001,57000
Wales, 6/30/2001,58000
Wales, 9/30/2001,59950
Wales,12/31/2001,60000
Wales, 3/31/2002,61745
Wales, 6/30/2002,64950
Wales, 9/30/2002,67500
Wales,12/31/2002,71000
Wales, 3/31/2003,74950
Wales, 6/30/2003,78000
Wales, 9/30/2003,82500
Wales,12/31/2003,88000
Wales, 3/31/2004,92000
Wales, 6/30/2004,98500
Wales, 9/30/2004,109000
Wales,12/31/2004,115000
Wales, 3/31/2005,119950
